UF,MUNICIPIO,COBERTURA_VACINAL
AC,MARECHAL THAUMATURGO,64.5
AC,MANOEL URBANO,54.43
AC,CRUZEIRO DO SUL,52.36
AC,PORTO WALTER,51.01
AC,SENADOR GUIOMARD,49.3
AC,TARAUACÁ,46.72
AC,EPITACIOLÂNDIA,43.39
AC,BRASILÉIA,43.17
AC,RODRIGUES ALVES,39.6
AC,ACRELÂNDIA,38.97
AC,PLÁCIDO DE CASTRO,38.93
AC,XAPURI,36.52
AC,FEIJÓ,33.82
AC,BUJARI,32.86
AC,MÂNCIO LIMA,31.74
AC,JORDÃO,31.18
AC,SENA MADUREIRA,30.18
AC,ASSIS BRASIL,30.02
AC,PORTO ACRE,29.92
AC,SANTA ROSA DO PURUS,24.54
AC,RIO BRANCO,21.6
AC,CAPIXABA,15.83
AL,COITÉ DO NÓIA,121.94
AL,FELIZ DESERTO,107.05
AL,COQUEIRO SECO,106.55
AL,JACARÉ DOS HOMENS,102.61
AL,SÃO BRÁS,101.83
AL,SÃO JOSÉ DA TAPERA,101.81
AL,SÃO MIGUEL DOS MILAGRES,100.94
AL,PORTO CALVO,99.84
AL,QUEBRANGULO,99.64
AL,BRANQUINHA,98.92
AL,BELÉM,98.58
AL,TEOTÔNIO VILELA,97.04
AL,SÃO JOSÉ DA LAJE,96.54
AL,MATRIZ DE CAMARAGIBE,96.22
AL,SENADOR RUI PALMEIRA,96.05
AL,CRAÍBAS,95.55
AL,FEIRA GRANDE,95.34
AL,UNIÃO DOS PALMARES,95.13
AL,BATALHA,94.94
AL,SÃO SEBASTIÃO,94.81
AL,OLHO D'ÁGUA DAS FLORES,94.49
AL,JAPARATINGA,94.37
AL,OLIVENÇA,93.64
AL,ROTEIRO,93.6
AL,CANAPI,93.14
AL,PENEDO,92.93
AL,SANTA LUZIA DO NORTE,92.28
AL,CAMPO ALEGRE,91.93
AL,JUNDIÁ,91.44
AL,LIMOEIRO DE ANADIA,91.37
AL,OLHO D'ÁGUA DO CASADO,91.26
AL,IGACI,89.64
AL,CHÃ PRETA,89.58
AL,IGREJA NOVA,88.97
AL,SANTANA DO MUNDAÚ,88.47
AL,MARAGOGI,88.15
AL,MAR VERMELHO,87.61
AL,CORURIPE,87.01
AL,SÃO LUÍS DO QUITUNDE,86.55
AL,MONTEIRÓPOLIS,86.4
AL,BARRA DE SÃO MIGUEL,84.58
AL,PORTO DE PEDRAS,84.24
AL,PAULO JACINTO,83.75
AL,CAJUEIRO,83.13
AL,MARAVILHA,82.62
AL,SÃO MIGUEL DOS CAMPOS,80.93
AL,PILAR,80.09
AL,BOCA DA MATA,79.86
AL,RIO LARGO,79.85
AL,MARIBONDO,79.69
AL,PALESTINA,79.5
AL,TRAIPU,78.53
AL,PINDOBA,77.64
AL,JUNQUEIRO,77.04
AL,LAGOA DA CANOA,76.46
AL,JOAQUIM GOMES,74.83
AL,PÃO DE AÇÚCAR,74.76
AL,JACUÍPE,74.48
AL,CARNEIROS,74.37
AL,SANTANA DO IPANEMA,73.89
AL,MESSIAS,73.45
AL,ANADIA,73.17
AL,GIRAU DO PONCIANO,72.96
AL,PARIPUEIRA,72.84
AL,BELO MONTE,72.21
AL,MARECHAL DEODORO,71.81
AL,INHAPI,71.25
AL,ATALAIA,70.88
AL,OURO BRANCO,70.85
AL,CAMPESTRE,70.71
AL,PORTO REAL DO COLÉGIO,70.42
AL,VIÇOSA,70.05
AL,PIAÇABUÇU,69.87
AL,JARAMATAIA,69.42
AL,MINADOR DO NEGRÃO,69.09
AL,BARRA DE SANTO ANTÔNIO,69.06
AL,CACIMBINHAS,68.79
AL,NOVO LINO,65.81
AL,MAJOR ISIDORO,65.54
AL,DOIS RIACHOS,65.54
AL,ESTRELA DE ALAGOAS,64.84
AL,PIRANHAS,64.59
AL,JEQUIÁ DA PRAIA,64.28
AL,DELMIRO GOUVEIA,63.35
AL,PARICONHA,62.78
AL,ARAPIRACA,62.77
AL,TAQUARANA,62.47
AL,MACEIÓ,62.39
AL,POÇO DAS TRINCHEIRAS,61.63
AL,CAMPO GRANDE,61.36
AL,CAPELA,60.63
AL,ÁGUA BRANCA,60.34
AL,MURICI,59.24
AL,SATUBA,58.16
AL,TANQUE D'ARCA,57.8
AL,IBATEGUARA,55.33
AL,MATA GRANDE,54.65
